,text,id,user,created_at
0,"@yuki18_freedom ゆきさん明けましておめでとうございます🥰💖
去年は辛い別れがあったけど、何事にも全力で頑張るゆきさんの姿にいっぱいパワーをもらいました✨
今年も一歩ずつ夢を実現させて行って下さいね🍀
今年も素敵な1年になりますように💓
よろしくお願いします😍💓",1609585273062715396,257yukarin,Sun Jan 01 16:20:08 +0000 2023
1,"@nasokanshiya 可愛いい💓💓💓
七五三おめでとう🎉🎉🎉
健康に大きくなってくれたことに感謝ややよね‼️なぁちゃんの愛情いっぱいの子育てのお陰やね💛
これからも健康で元気に明るく大きくなってくれますように💗",1597430985523867652,257yukarin,Tue Nov 29 03:23:20 +0000 2022
2,"@yuki18_freedom ゆきさんおはようございます💓
朝からサスケくんかわいい🥰💗
もう次の勉強始めてるんですね😳
やっぱりゆきさんはすごいです‼️
今日も暑いですが素敵な日になりますように💛",1560747916327010304,257yukarin,Fri Aug 19 21:57:55 +0000 2022
3,"@FjZS1drU9Vvq7ya キヨミさんおはようございます🥰💓
朝から素敵な写真に癒やされました💗
今日も1日暑くなるみたいですが、体調に気をつけて楽しくハッピーな日になりますように💖",1560747522423136257,257yukarin,Fri Aug 19 21:56:21 +0000 2022
4,"@nasokanshiya なぁちゃん元気になってホントに良かったね😭💗💗💗
病気になると健康の有り難みにすごい気付かされるよね✨
体調無理しないで笑顔いっぱいがんばってね💖",1560746827867357184,257yukarin,Fri Aug 19 21:53:35 +0000 2022
5,"@hinono1ton_a あんこちゃんすごいショッキングなニュースで私も心が痛かったよ💦
自分を含めいつ誰に何が起こるかなんて分からないから、今を全力で生きようと私も思ったよ✨
突然最愛の人が居なくなるって想像しただけでも頭がおかしくなりそうやよね💦",1547217356484915200,257yukarin,Wed Jul 13 13:52:18 +0000 2022
6,"@megrien めぐみさん素敵な言葉ですね💖　
自分を褒めることって以外に下手くそで慣れてないのですが、小さいことでも明日への自信に繋がって行きますよね✨
明日も素敵な日になりますように🍀",1547215849005944833,257yukarin,Wed Jul 13 13:46:18 +0000 2022
7,"@FjZS1drU9Vvq7ya キヨミさん素敵な写真ですね🤗💕　
今日も1日お疲れ様でした🍀
明日も素敵な日になりますように💛",1547215420280963081,257yukarin,Wed Jul 13 13:44:36 +0000 2022
8,"@FjZS1drU9Vvq7ya キヨミさんおはようございます😆💖
ひまわりありがとうございます🌻💗
すごく元気をもらいました💓
なかなかTwitter見れないですがまた楽しみにしています💛
今日も素敵な日になりますように🍀",1546949537541267457,257yukarin,Tue Jul 12 20:08:05 +0000 2022
9,"@kolokololife こまちさん息子ちゃん可愛すぎですね😁💓
私も熱烈ハグされたい🤭💗💗💗
確かにヒゲにはないから勝てないですね🤣
今日も楽しい日になりますように🍀",1546631062042079232,257yukarin,Mon Jul 11 23:02:34 +0000 2022
