,text,id,user,created_at
0,"てかそもそも、なんでチャイルドシートってあんなに閉めにくいの？両手で合わせて硬いバックル？にインってさ。
一本ずつ差し込めたらよくない？
あのセットしにくさのせいで、シートはあるのにちゃんと装着してないファミリー多いと思う。 https://t.co/hRPhsMER15",1631626753637744641,EasyMomFarmacy,Fri Mar 03 12:05:06 +0000 2023
1,"@yui_ouchieigo うちも結局、相変わらずだだんだんのオモチャで毎日遊んでます😂笑笑

フォローありがとうございます☺️こちらこそ宜しくお願いします💕",1625706802448072711,EasyMomFarmacy,Wed Feb 15 04:01:20 +0000 2023
2,"高校生くらいに見える6年生のお兄ちゃんお姉ちゃんが背中に小さな革製のカバンくっつけてるのが何ともね😂
ついでにピチピチの半ズボンとか黄色い帽子も切ない😅
ランドセルは低価格1-2年で買い替えが主流になったらいいのにな☺️
子にも親… https://t.co/ERZjMfj4Xb",1623497021696118784,EasyMomFarmacy,Thu Feb 09 01:40:27 +0000 2023
3,こんなお母さんになりたい☺️ https://t.co/RkBox4haT1,1618953532484485122,EasyMomFarmacy,Fri Jan 27 12:46:15 +0000 2023
4,"私もごっこ遊び辛い😭子供の頃はおままごと大好きだったのに、時間経たなさすぎる。
一緒に遊んでるふりしてレゴで真剣に大作作るか、鬼滅とかの絵を描いて練習してやり過ごす😅
子供のことは愛してるけど遊ぶのは別物だ。
一緒に出かける方が楽… https://t.co/rXccsTUOkC",1616059002257047555,EasyMomFarmacy,Thu Jan 19 13:04:25 +0000 2023
5,"わかりみがすごすぎる。
子供持つまで自分が子供と遊ぶのがこんなに嫌いだなんて知らなかった。
むしろ好きだと思ってたのに、ほんとにつまんなすぎて、時計見たら5分しか経ってなくて白目むきそうになるって友達と話してます。笑 https://t.co/1VQQCDCZYh",1616057861897080832,EasyMomFarmacy,Thu Jan 19 12:59:53 +0000 2023
6,はい！ https://t.co/xXwhsy5Snq,1616056457254031363,EasyMomFarmacy,Thu Jan 19 12:54:18 +0000 2023
7,"正気とは思えない‼️特に芋袋‼️
土だらけだよ😂どんなにエコが進んでも、そこはレジ袋でいいでしょー😂連絡袋は100均のジッパー袋がオススメ。
きんちゃくなんかに入れたらシワシワになるよ😂
巾着教なのかも。 https://t.co/oUtOIPaBg8",1616055653633789955,EasyMomFarmacy,Thu Jan 19 12:51:07 +0000 2023
8,"産まれてから4年間ずっと耳掃除をいやがられて、ライト付き粘着耳かき買っても失敗して、もう耳鼻科しかないのかと思っていた息子の巨大耳クソが…とれたーーーー‼️

パパと2人でYouTubeみせたりして10分格闘の末…😭

朝顔のタネ… https://t.co/Uuhjhr2c3E",1615596710423855104,EasyMomFarmacy,Wed Jan 18 06:27:26 +0000 2023
9,"@jewelry_mama2 小1娘と行きました！
怖いシーンは手を繋いできましたが、平気そうです💡鬼滅のようなザ・悪者みたいなものが襲ってくるわけではないので怖がりじゃなければ大丈夫かも？？災害を知ってる大人が見た方が怖いかもと… https://t.co/sSFTomBAE6",1615594182391009283,EasyMomFarmacy,Wed Jan 18 06:17:24 +0000 2023
10,本当に😂鬼すぎる。 https://t.co/B0wzeVCy8h,1615591143361900545,EasyMomFarmacy,Wed Jan 18 06:05:19 +0000 2023
11,"@yua_stone 目からウロコ‼️
せっかく宿題おわったのに、「ぬりなさーい！」って促すの面倒で😭",1614449225450029057,EasyMomFarmacy,Sun Jan 15 02:27:45 +0000 2023
12,"器用で色塗るのが楽しい子供ばかりじゃないよ。

色塗り嫌いでも勉強好きな子とかのやる気削いで、本末転倒だよ。

色塗りは図画工作だけでいいんじゃないでしょうか？",1614443006773571585,EasyMomFarmacy,Sun Jan 15 02:03:02 +0000 2023
13,"小1の宿題でこういうの本当にやめてほしい。良いことない。

かきかたのプリントは絵まで色を塗って提出。
算数もできた数の色を塗る。
お手伝いカードも出来たら色塗り。

勉強やお手伝いのチェックは○だけでいいよ😅
色塗りが面倒でモチ… https://t.co/KMsleIszLA",1614443002654789639,EasyMomFarmacy,Sun Jan 15 02:03:01 +0000 2023
14,"寝る前は機嫌が悪くなる&amp;寝付きが悪い娘氏と、寝つきよし&amp;寝た直後にクスッと笑う息子氏。

何でも食べる娘氏と、去年まで炭水化物、唐揚げ、豆腐、トマトしか食べなかった息子氏。

我が子たち、個性の振れ幅デカすぎ。",1613519151032864769,EasyMomFarmacy,Thu Jan 12 12:51:57 +0000 2023
15,"今日は家族4人で初めて激混みの西宮戎に行ってきた😆

二礼ニ拍してお願い事して一礼するんだよと教えたら、4歳息子もすごい長い間手を合わせていた。
何願ったの？と聞くと
「ドラゴンボールの悟空になりたい」でした🤣

祝‼️アンパンマン卒業…かも‼️笑",1612444415641137152,EasyMomFarmacy,Mon Jan 09 13:41:21 +0000 2023
16,@calmdowncatmom バスボム屋さんからしたら作るのメチャクチャ簡単だと思うので、子供のためというより、全国のママパパ達のためにゼヒ色んな商品展開してほしいですよね😂,1611598728007409664,EasyMomFarmacy,Sat Jan 07 05:40:53 +0000 2023
17,@69tap ですよねー‼️ギリギリ隠せる量の入浴剤でオマケ包んでくれたら最高ですよね😆子供は中身にしか興味ないので😂,1611597579720232961,EasyMomFarmacy,Sat Jan 07 05:36:19 +0000 2023
18,"コレめっちゃ欲しい‼️
もしくは、バスボムが3.4個入れても香りキツくなったり、お肌ぬるぬるにならないオマケ付き格安バスボム‼️
兄弟3、4人分一気に入れても体に悪くなさそうだと嬉しいよねー☺️ https://t.co/IxUbc9IX4c",1611547954921472000,EasyMomFarmacy,Sat Jan 07 02:19:08 +0000 2023
19,さらにイクラが食べたくなってきた😂 https://t.co/hZlqSdLhU8,1607177492489723905,EasyMomFarmacy,Mon Dec 26 00:52:28 +0000 2022
20,"家族全員で毎日prime videoでドラゴンボールみてるんだけど…

イクラ丼食べたくなる。",1607159745408032768,EasyMomFarmacy,Sun Dec 25 23:41:57 +0000 2022
21,"息子4歳が初めて皆と一緒にローストチキンを食べたよーーーーー😂😂😂

唐揚げもケンタも大好きなのに、クリスマスはいつもパンとチーズとトマトしか食べなかった息子が‼️揚げずに焼いてるチキンデビュー😂😂😂✨✨

偏食っ子じゃないと味わ… https://t.co/J1pdiwfaFF",1606644193740623875,EasyMomFarmacy,Sat Dec 24 13:33:20 +0000 2022
22,"学校の宿題の計算カードは毎日タイムを測ってパパママの最高記録と競わせる。

てのを、やってるんだけど、教育系YouTubeで勉強好きな子の親がよくやってることの一つに入ってた😆

褒められたようで嬉しい。笑

そして昨日、娘氏はじ… https://t.co/Vn2IJtEC1d",1606508493577801730,EasyMomFarmacy,Sat Dec 24 04:34:07 +0000 2022
23,"小1から厳しいな…
と思ったけど、学年上がるにつれて採点厳しくなって3ばかりから2ばかりに下がるよりは小1から厳しめの方が子供のモチベーションは下がらなくて、むしろほぼ2の通知表はよかったかも…と思ってきた☺️笑
2って幅広いし。笑 https://t.co/YnzNK8vuWC",1606470748687982593,EasyMomFarmacy,Sat Dec 24 02:04:07 +0000 2022
24,"@yukari_sk ひぇーーー！そーなんですね！！なるほど😅
ありがとうございます‼️",1606051796450873344,EasyMomFarmacy,Thu Dec 22 22:19:21 +0000 2022
25,"娘氏2回目の通知表、3段階評価で3が一つだけ、残り全て2。
テストはほぼ85〜95前後なんだけど、小1でも厳しいんだな😅
そーゆーもの？？？
体育と図工は納得だけど、お勉強科目は3でよさそうだけどな？？？",1605982510910828544,EasyMomFarmacy,Thu Dec 22 17:44:02 +0000 2022
26,ほんそれ2号😭 https://t.co/VimXRf8gZG,1605891083665186816,EasyMomFarmacy,Thu Dec 22 11:40:45 +0000 2022
27,ほんそれ😭 https://t.co/HYLiK44f02,1605891015470026755,EasyMomFarmacy,Thu Dec 22 11:40:28 +0000 2022
