,text,id,user,created_at
0,私の答えは【酸化マグネシウムと「#ビタミン」で自然に近いお通じへ戻ろう】ビオフェルミンのアカウント(@bio_chokatsu)をフォロー&amp;クイズに答えてAmazonギフトカードが当たる #乳酸菌のくすりの日制定記念キャンペーン 実施中🎁,1626124048605532160,WokingmamaENARI,Thu Feb 16 07:39:19 +0000 2023
1,私は #YogiboMiniコース で #茜霧島 を飲むくつろぎ時間を楽しみたい！ 霧島酒造公式アカウント(@kirishimashuzo)では、 #茜霧島でアカネテラピーキャンペーン を実施中！ 応募は2/25(土)まで！,1626123715326152704,WokingmamaENARI,Thu Feb 16 07:38:00 +0000 2023
2,"私は【 #京都が勝つ 】と予想！ #Ｊリーグ 開幕を記念して #みんなのWINNER予想キャンペーン を開催中！予想投稿の中から、抽選で100名様にAmazonギフトカード1,000円分プレゼント⚽ https://t.co/pgCaKPCWZt #スポーツくじWINNER",1626120929289056257,WokingmamaENARI,Thu Feb 16 07:26:56 +0000 2023
3,#じゃがりこ新作は中華 https://t.co/GDVzi8irbG,1626119081601687552,WokingmamaENARI,Thu Feb 16 07:19:35 +0000 2023
4,【花粉シーズンは #なるべく外出を控える 】 #ウェルウォッシュアイ は点眼型洗眼薬で持ち運びできるからどこでも目洗いできてスッキリ✨ @well_wash_eye から #花粉症対策あるある キャンペーンに参加してみて👀応募規約… https://t.co/8OCIqRiNeF,1626117821280436224,WokingmamaENARI,Thu Feb 16 07:14:35 +0000 2023
5,"#ニュージーランドワイン 
生はむ！！！ https://t.co/iTwV4ATgej",1626115766516088832,WokingmamaENARI,Thu Feb 16 07:06:25 +0000 2023
6,"Twitterシェアキャンペーン実施中！  #JEMA_IoT家電2022
家事はしっかりやりたいけどたまにはお出かけもしたいAさんの場合をご紹介
 https://t.co/KeW3Rr1jN4",1618518338120077313,WokingmamaENARI,Thu Jan 26 07:56:57 +0000 2023
7,公式Twitter（@departinfo）フォローの上でキャンペーンページからツイートしていただいた方の中から、抽選で百貨店共通商品券・百貨店ギフトカード・リンベルカタログギフト・博多華味鳥水たきセットの何れかをプレゼント！ ※… https://t.co/Yv07GOx2IH,1618515511301787649,WokingmamaENARI,Thu Jan 26 07:45:43 +0000 2023
8,やっぱり「#おむすび」呼びです！ #おにぎりとクレラップ #おにぎり総選挙 投票結果は https://t.co/DroDv5TOiq でご覧になれます。,1618513711001669632,WokingmamaENARI,Thu Jan 26 07:38:33 +0000 2023
9,"2018年に発売！
#キャラメルナッツ に投票🗳️‼

濃厚なキャラメルの甘さと
香ばしいナッツの香りで一息つきたい🥜

#マウントレーニア30周年 を記念して
復刻フレーバー総選挙を開催中🎉

👇詳しくはこちら👇… https://t.co/fTFHzSrwZQ",1618513340531380230,WokingmamaENARI,Thu Jan 26 07:37:05 +0000 2023
