,text,id,user,created_at
0,もともと本家無印のものを愛用してたんだけど、トップバリュは手を入れてシェルフから引き出せるのが使いやすそうで買ってみたら大正解！マグフォーマー用にも買い足したい... https://t.co/FCnikERSmV,1428337610687094785,XpXHBZH9OEEuTwd,Thu Aug 19 12:46:38 +0000 2021
1,トロファストにトップバリュの「積み重ねられるラタンバスケットハーフ」がシンデレラフィット✨ https://t.co/bHxiUyJmQA,1428317931327221761,XpXHBZH9OEEuTwd,Thu Aug 19 11:28:26 +0000 2021
2,@cc3310 わっ❣️ありがとうございます😍お得すぎるので当たりたいですね✨,1428284497640902656,XpXHBZH9OEEuTwd,Thu Aug 19 09:15:35 +0000 2021
3,"当たればアサヒスーパードライ24本が50円で買えます🍺どなたかシェア買いしませんか？

【抽選で50円】350ml× 24本　アサヒ スーパードライ【外れたら全額返金】を #カウシェでシェア買い しませんか？
https://t.co/fgKbBkI4dg",1428237206439612420,XpXHBZH9OEEuTwd,Thu Aug 19 06:07:40 +0000 2021
4,"えっ2台目買っちゃう！？🤣ホイップクリームまで出来るのすごい。そのうちミキサーみたいな機能までたどり着くのでは.., https://t.co/ImCFmaHjyB",1427854525000417282,XpXHBZH9OEEuTwd,Wed Aug 18 04:47:01 +0000 2021
5,"先日図書館で借りた絵本がどれもヒットで娘が繰り返し持ってくるのでうれしい😊
・またまたぶたのたね
・ゆでたまごひめとみーとどろぼーる
・パンケーキを食べるサイなんていない？
・ふたごのまじょサランとソラン おおきなドーナツ",1427524649353506822,XpXHBZH9OEEuTwd,Tue Aug 17 06:56:13 +0000 2021
6,"👧ママ、たいせつな話だからきちんと座って聞いて
🙍‍♀️うん、どうした？
👧お鼻にはどんな種でもえんぴつでもおもちゃでも詰めてはいけません
🙍‍♀️大切なことだね

#5歳4か月",1427122612308611072,XpXHBZH9OEEuTwd,Mon Aug 16 04:18:40 +0000 2021
7,控えめに言っても図書館って最高ですよね🥺,1427118064127004675,XpXHBZH9OEEuTwd,Mon Aug 16 04:00:35 +0000 2021
8,https://t.co/YAzpi0s922,1426719418466242560,XpXHBZH9OEEuTwd,Sun Aug 15 01:36:31 +0000 2021
9,https://t.co/rco7ps9SqV,1426506093098725376,XpXHBZH9OEEuTwd,Sat Aug 14 11:28:50 +0000 2021
