,text,id,user,created_at
0,"浴衣レンタルあり、お寺での浴衣撮影会のご案内です！
詳しくはインスタ投稿ご覧ください！

https://t.co/N7Of2Zuitj https://t.co/IQh0u1CbGu",1432147635687673856,_haluulala_,Mon Aug 30 01:06:19 +0000 2021
1,"浴衣撮影会します！！
お気軽にお問い合わせください♡ https://t.co/jhTHx3oDkV",1427844657799565312,_haluulala_,Wed Aug 18 04:07:49 +0000 2021
2,"まだ予約受付てます！
お気軽にお問い合わせください♡ https://t.co/Y6M3VdJ4bk",1422788875580153858,_haluulala_,Wed Aug 04 05:17:56 +0000 2021
3,まだ空きあります！ https://t.co/OkfyzSXGYP,1422104032944951304,_haluulala_,Mon Aug 02 07:56:37 +0000 2021
4,"大阪城公園にも少量だけど、ひまわりがあるのを発見🌻

ひまわりが枯れてしまう前に・・・

ひまわり&amp;新緑お散歩撮影会を開催します！！

♢日程
♦︎8月6日(金)
♦︎8月17(火)
9時から11時の間
@大阪城公園

詳細はイン… https://t.co/RGvPf0mF5i",1422023509685932036,_haluulala_,Mon Aug 02 02:36:39 +0000 2021
5,"不具合によりインスタアカウントつくりなおしてます！
こちらフォローください！ https://t.co/lm1l0oJIoU",1419835890612854785,_haluulala_,Tue Jul 27 01:43:50 +0000 2021
6,こちらもインスタにて募集中です↓ https://t.co/kngpfo6AGj,1419835276197720064,_haluulala_,Tue Jul 27 01:41:23 +0000 2021
7,"8月3日の詳細です↓
お問い合わせはお気軽に！ https://t.co/DX9BwLpSms",1419835011168047106,_haluulala_,Tue Jul 27 01:40:20 +0000 2021
8,上六のおしゃれカフェでゲットしたドラフラワーのスワッグ！今度の撮影会でもっていきます♡ https://t.co/5ajAZx7FAy,1417819664202178568,_haluulala_,Wed Jul 21 12:12:04 +0000 2021
9,"新緑お散歩撮影会します！！
詳細はインスタをご覧ください♡ https://t.co/oizZwSZZxx",1416985760209661955,_haluulala_,Mon Jul 19 04:58:26 +0000 2021
10,"8月開催分、親子撮影付きベビマの日程決まりました！
8月3日午後14時頃から、谷町六丁目周辺空堀商店街内のからふるさんで実施です(^^)
先行予約受付中です！！ https://t.co/ZMhEX3OtWg",1416894517043625987,_haluulala_,Sun Jul 18 22:55:52 +0000 2021
11,"モデル募集詳細です↓
https://t.co/145TlSCs6W https://t.co/Fj1EnKEddq",1415835274886606848,_haluulala_,Fri Jul 16 00:46:49 +0000 2021
12,"おはようございます！一昨日のイベントはベビマ写真1枚＋親子撮影写真2枚のお渡しだったのですが、なんと、5枚も追加購入してくださったお客さまが！！

せっかく撮った写真、購入してもらえてとてもうれしいです♡ https://t.co/f2a8NLKTYC",1415448667067092992,_haluulala_,Wed Jul 14 23:10:34 +0000 2021
13,@revomi_chan 二女も1歳になったいま、やはり0歳期間の尊さを実感しますね〜👶,1415152236624191490,_haluulala_,Wed Jul 14 03:32:40 +0000 2021
14,"ベビマ中のお写真はこんなショットをプレゼントしました♡

かわいい〜いやし〜

8月の日程は調整中です♡ https://t.co/tTkbmc9ffY",1415148130903891973,_haluulala_,Wed Jul 14 03:16:21 +0000 2021
15,@Mron51466666 いえいえ😊マロンさんご無沙汰です♡むちゃくちゃ低浮上でしたが、復活しましたので、また仲良くしてください❗️,1415100025516953602,_haluulala_,Wed Jul 14 00:05:12 +0000 2021
16,昨日のベビマあとの親子撮影の様子です♡みんなとってもかわいかった〜 https://t.co/dedaKnfU2q,1415085730947207172,_haluulala_,Tue Jul 13 23:08:23 +0000 2021
17,"次回は8月3日に仮確定中です♡
ご予定みてみてください✌️",1414731996631232518,_haluulala_,Mon Jul 12 23:42:47 +0000 2021
18,本日7月の親子撮影つきベビマイベント当日です！使えそうな小物持っていきまーす♡ https://t.co/VPcg1uFmE8,1414731484716359680,_haluulala_,Mon Jul 12 23:40:45 +0000 2021
19,"明日のベビマ＋撮影会イベント📷
ベビー👶ちゃんたちがお熱でキャンセルでたので、空きあります❗️
興味ある方いたらご連絡ください♡",1414416319890399238,_haluulala_,Mon Jul 12 02:48:23 +0000 2021
20,この日はイベント盛りだくさんです！気になる人はお気軽にDMください✌️ https://t.co/WK7RChzjX4,1414357160780210177,_haluulala_,Sun Jul 11 22:53:19 +0000 2021
21,"♢大阪市中央区にて
月1回写真付きベビーマッサージイベントを開催♡
※親子撮影会もあり

♢今後ママ向けオンラインイベントも計画中

♢今ならLINEのお友達追加で、2回目以降から使える、写真1枚無料プレゼント
クーポンがGETで… https://t.co/fbBdmcARzo",1413360830196813826,_haluulala_,Fri Jul 09 04:54:15 +0000 2021
22,"7月のイベントでは、写真1枚付きで2500円ですが、
来月からは写真3枚で3500円となります♡
もっとお写真ほしい方は、写真1枚＋300にて購入可能です！

ベビマメインなら今回がお得ですよ！",1413348492014088195,_haluulala_,Fri Jul 09 04:05:13 +0000 2021
23,ご予約は、私でもこちらに載っているベビマの先生でもどちらでも大丈夫です！ https://t.co/dgS83etEyy,1413341166808928264,_haluulala_,Fri Jul 09 03:36:07 +0000 2021
24,7月13日の写真付きベビーマッサージまだ枠あります！気になる方はお気軽にDMまたは公式LINEにお問い合わせください♡ https://t.co/uJxrhWswd9,1413338637547184132,_haluulala_,Fri Jul 09 03:26:04 +0000 2021
25,たくさんのママ垢さんと仲良くさせてもらったこちらのアカウントですが、ママグラファーとしてのイベント告知アカウントに変更させていただきます！大阪を中心に関西圏のママさんたちと、さらになかよくできたらと思っています♡よろしくお願いします！,1413337919138369541,_haluulala_,Fri Jul 09 03:23:13 +0000 2021
