,text,id,user,created_at
0,"寝落ちしてて、大慌てで色々買い回ったけど…ディスペンサーと職場用の棚買えなかったぜ…😭

・ビオレUボディソープ&amp;マー&amp;ミーシャンプー
・くもん日本地図パズル
・骨取り鮭
・マルエフ1ケース
・ランドセルカバー

購入しました！
続きはまた10日に✨",1632396754409902082,erigonmama,Sun Mar 05 15:04:49 +0000 2023
1,"またきてるよー！！
22:59まで！ https://t.co/kwYdjdckeH",1632369042102317058,erigonmama,Sun Mar 05 13:14:42 +0000 2023
2,"楽天ブックス、ゲリラポイントアップ中だよー‼️

くもんの日本地図パズル買うー✨
#楽天スーパーSALE #楽天スーパーセール
https://t.co/UZUcwZClHj",1632309286109085700,erigonmama,Sun Mar 05 09:17:15 +0000 2023
3,"👧「ほら見て！美味しそうでしょ⁉️」
ワシ「お…おう…（白目）」

見えないはずの白目に飛び込んできたのはカーペットにまで広がる茶色い無数の粘土カス達😇 https://t.co/uUyJC9ip5e",1632184366762987520,erigonmama,Sun Mar 05 01:00:52 +0000 2023
4,"私が何度もリピ買いしている骨取り鮭がスパセで10%オフになってるよ！

肉厚で脂も乗ってて、ついてくる藻塩つけて焼くだけでも美味しいので本当にお勧め😆✨
#楽天スーパーSALE #楽天スーパーセール
https://t.co/DL4KKHTprA",1632174291365265408,erigonmama,Sun Mar 05 00:20:50 +0000 2023
5,"1月からごろっとグラノーラから乗り換えたけど、甘さが控え目で食べやすくて良いよ☺✨
#Amazon新生活セール2023 #Amazon新生活セール
https://t.co/LlT12V5oP3",1632150288265277440,erigonmama,Sat Mar 04 22:45:27 +0000 2023
6,"ROOM頑張りたいけど、医院のアレコレで心の余裕がなさ過ぎる😂

でも今回買い物はたくさんします！

ウェーイ🤗",1631972392280162304,erigonmama,Sat Mar 04 10:58:33 +0000 2023
7,"あ！
スパセで石鹸買わなきゃ‼️",1631959048257179650,erigonmama,Sat Mar 04 10:05:32 +0000 2023
8,"@7w04056126 歯科医師視点でマジレスしてしまうと、離乳食期から前歯（前歯の顎）でカミカミするものを与える事、めっっっっちゃ重要です！➡️後々歯並びに影響します
全然頑張らなくていいので、スティック状にするとか、そんなんで… https://t.co/C1xhnrK7QA",1631634302797770753,erigonmama,Fri Mar 03 12:35:06 +0000 2023
9,"激推ししたいMIペーストのチョコ味🍫

うちの医院では、お子様のスケーリング後の仕上げ磨き剤を自分で選んでもらうんだけど…
コレが人気ダントツ1位✨

大人にも勿論お勧め👍

期間限定だから買うなら今‼️… https://t.co/b1GOoEW1cM",1631628460425871361,erigonmama,Fri Mar 03 12:11:53 +0000 2023
10,@milktea2281221 めっちゃ良き😳,1631625928785952769,erigonmama,Fri Mar 03 12:01:50 +0000 2023
11,"@__pato_room_ すごーい！！
おめでとう✨",1631625470268813314,erigonmama,Fri Mar 03 12:00:00 +0000 2023
12,"ここ数年で1番少ない金額を叩き出しました😂

というか、そんな閉店ガラガラ状態の私のROOMにお立ち寄りくださった皆様、マジでありがとうございます🙇

来月は少し頑張りマッスル💪 https://t.co/pmNHBJMpOB",1630332100019896321,erigonmama,Mon Feb 27 22:20:37 +0000 2023
13,"おはようございます‼️

あっぶねぇぜ‼️

来月もＣランク継続🎉

ってなるところだったぜ‼️

と、言う訳で駆け込みオリ写投稿✨

お高いけどマジで買ってよかったウエットティッシュケースでござる☺
横長タイプはリピ買いで、今3… https://t.co/uOOgFdH5Ua",1630331268343926784,erigonmama,Mon Feb 27 22:17:19 +0000 2023
14,"おはようございます☀
もう2月も終わるのか…
『( ﾟдﾟ)ﾊｯ！オリ写投稿しとかんと、Bランク戻れねぇよ‼️』
と思って確認したら、この有様🤣🤣🤣🤣

いやぁ…

ちょっと何というか…
当たり前の結果だけど、酷いね😇 https://t.co/EZP6uY5nfm",1628524642402185216,erigonmama,Wed Feb 22 22:38:25 +0000 2023
15,"結局
・ミルボン✕2
・大量の小顔マスク
・楽天24で大量の洗濯洗剤&amp;食器洗い洗剤
・ソーダストリーム交換用カートリッジ
・パンパースおしり拭き
・キティちゃんおむつ
・楽天ファッション（カーディガンと子供の下着）

を購入します… https://t.co/BbxucSG6DD",1628149236645900299,erigonmama,Tue Feb 21 21:46:42 +0000 2023
16,"@__yuri1008 私もマスク大量に買ったりした🤣
それでも昨日1日では7店舗が限界だったべ…🥺",1628012127993892865,erigonmama,Tue Feb 21 12:41:52 +0000 2023
17,"なん…だと…？

39ショップ買い周り…？？

そんなもん始まってたんかーい🤣‼️

・おしり拭き
・楽天ファッション
・マスク

や、やばい！
3,980円以上で買うものが他に思いつかない…‼️

でもおしり拭きは早く買わなきゃ😂",1627430181572075520,erigonmama,Sun Feb 19 22:09:26 +0000 2023
18,辛し😇 https://t.co/t1VJd3jU2h https://t.co/V29QwV53Yw,1624063495535992832,erigonmama,Fri Feb 10 15:11:25 +0000 2023
19,寝てた😇,1624062666666037251,erigonmama,Fri Feb 10 15:08:08 +0000 2023
20,オラ、ミニオンズ2買う‼️ https://t.co/AuuIIWxA6X,1624007230734606338,erigonmama,Fri Feb 10 11:27:51 +0000 2023
21,"ポイントアップきてるよー！！！
https://t.co/aRpTVgJLbA",1624004890610790400,erigonmama,Fri Feb 10 11:18:33 +0000 2023
22,"久々のオリ写だよー！

うちの医院でも大人気過ぎて
🙍‍♀「先生…チョコ味ってもう手に入らないんですか？」
ワシ「期間限定だったんで無理なんですよ😵」
🙍‍♀「ネットで探しても全然買えなくて…先生の力を持ってしてでも駄目なんですね… https://t.co/MHVvbwmQ0i",1623896015706390529,erigonmama,Fri Feb 10 04:05:55 +0000 2023
23,@chibimaru7829 あっという間過ぎてね😂,1622129794367504384,erigonmama,Sun Feb 05 07:07:35 +0000 2023
24,"ウィーーー！
https://t.co/OkhYpJ7WQH",1622114703274291200,erigonmama,Sun Feb 05 06:07:37 +0000 2023
25,"最近オリ写編集する時間取れなくて、ウッカリビックリCランクに戻ってしまったオイラだけど、余裕がある頃はこんな投稿してたよ🤣‼️

お口のアイテムのご相談、いつでもしてちょ！

https://t.co/p2EWcE5zbJ",1622114301149577216,erigonmama,Sun Feb 05 06:06:01 +0000 2023
26,"今日から2月10日まで、日替わりで割れチョコ各種がクーポンで半額になるよー‼️

ザッハトルテと、ラムレーズンと、マシュマロ🍫

イチオシは勿論ザッハトルテ🤗
https://t.co/sEI3anA2SM",1622076587377299459,erigonmama,Sun Feb 05 03:36:09 +0000 2023
27,買えたーーー👍👍👍👍 https://t.co/dcL7fI5FDb,1621826411207221249,erigonmama,Sat Feb 04 11:02:03 +0000 2023
28,"もうすぐ販売開始だよー‼️
今回は買えますように🙏

https://t.co/F5ND60DHgV",1621824718809755648,erigonmama,Sat Feb 04 10:55:19 +0000 2023
29,"やっば🤣🤣🤣

私、気付いたらCランクになってた😱😱😱

いや、マジか。
先月オリ写投稿2個すらできてなかったか…

https://t.co/EoFcl2peTV",1621644888021561348,erigonmama,Fri Feb 03 23:00:44 +0000 2023
30,"ん…？

え…？

今日からマラソンなの？

マジンガー？",1621644464669491200,erigonmama,Fri Feb 03 22:59:03 +0000 2023
31,"@niko_shopping じ、充分映えてますぞ！！

美味しそう〜😆✨",1619669115286978561,erigonmama,Sun Jan 29 12:09:43 +0000 2023
32,"@hachico_o_o ひとの旦那に言う言葉じゃないかもしれないけどクズじゃねぇーか！

週末だけでいいから、まるっと48時間一人で子供の面倒みさせてみ！",1619569144084721664,erigonmama,Sun Jan 29 05:32:28 +0000 2023
33,"@0w0_yuru はじめましてー✨
TLで見かけたのでフォローしました！

色々ウェルカムでっす👍",1619464065277124609,erigonmama,Sat Jan 28 22:34:56 +0000 2023
34,"私の友人も育児を嫁の仕事やと思っている人で、「お前も父親だろうが」と何度言っても
「いや、うちの嫁はえりごんと違って専業主婦だから。もっと頑張ってもらわなきゃ」
とかいう。
私でも『●ねばいいのに😇』と思うから、多分奥さんからは毎… https://t.co/2mIlR5HIuI",1619462103580184576,erigonmama,Sat Jan 28 22:27:08 +0000 2023
35,"ここにも書いたけど…

ネズミって石鹸食べるんだね😇

https://t.co/kHBYQ7Zv8I",1618269843618402311,erigonmama,Wed Jan 25 15:29:31 +0000 2023
36,衝動買い的に、マグネットシートとウエットティッシュケース2個セットを購入して寝る‼️,1618259425676132354,erigonmama,Wed Jan 25 14:48:07 +0000 2023
37,"@yusukeROOM1 オ…オカシイナァ…
（単純に頑張りが足らない）",1618219630627287042,erigonmama,Wed Jan 25 12:09:59 +0000 2023
38,"今回も買っちゃった☺✨

https://t.co/ThwDtFYhIR",1618218658114973703,erigonmama,Wed Jan 25 12:06:07 +0000 2023
39,@yusukeROOM1 先程確認したら20日が最後の売上でしたので、かなり遅延しているようです‼️←,1618214687522574339,erigonmama,Wed Jan 25 11:50:21 +0000 2023
40,"ハイー、ママ割エントリー忘れてたー！

クソが🤗",1618185799186669579,erigonmama,Wed Jan 25 09:55:33 +0000 2023
41,"@riisa_room ヒィ😱
凍ってたなら被害少な目😂⁉️",1618183844603265025,erigonmama,Wed Jan 25 09:47:47 +0000 2023
42,@ciel_mibo チョコ沢山買うー‼️,1618183324333387776,erigonmama,Wed Jan 25 09:45:43 +0000 2023
43,"キタコレーーー
ㅤ　／￣￣￣＼
　／　　　　　 ＼
／　　（ﾟ）（ﾟ）＼
|　（ﾄｪｪｪｪｪｪｪｪｪｪｲ）|
＼　＼ｪｪｪｪｪｪｪｪ／／
　＼　　　　　／⌒＼
　／　＿＿＿＿／⌒＼⊃
（　／
　＼＼
　　∪

https://t.co/DHHewNp1sM",1618143234680819712,erigonmama,Wed Jan 25 07:06:25 +0000 2023
44,"イチオシのキシリトール100%チョコレート！
ポイント5倍✨
更に3袋以上で30%オフのクーポン配布中だよ‼️

777円クーポンも対象👍

https://t.co/fUpCHvz2Q1",1618034179702394880,erigonmama,Tue Jan 24 23:53:04 +0000 2023
45,"おはようございまー！
今日は5のつく日✨チョコ買うぞー👍
⬇️5のつく日エントリー
https://t.co/YUq57nFqG5

⬇️リピ買いポイント2倍きとるよ！
https://t.co/TfnxWbf1AX

⬇️39シ… https://t.co/4Qg3xjng2e",1617995800004661250,erigonmama,Tue Jan 24 21:20:34 +0000 2023
46,"バレンタイン子供達と一緒にカラフルポップコーン作るべく購入ー‼️
綺麗に発色してくれると嬉しいなぁ✨

https://t.co/VhMPSp8MCe",1617845444704636928,erigonmama,Tue Jan 24 11:23:06 +0000 2023
47,"お子様の歯並びが気になる方、大きくなるまで『様子を見る』はNG🥺

まだお子様が6歳以下なら、お家でお金をかけずに歯並び改善する事ができる可能性があります。
これが年齢と共に難しくなってきて、10〜11歳以上になると一気に難度MA… https://t.co/TA5eoHWShR",1617697668276551680,erigonmama,Tue Jan 24 01:35:54 +0000 2023
