,text,id,user,created_at
0,希望的観測なのですが、23年秋からのNHＫ朝ドラが「ブギウギ」(制作は大阪放送局)大阪はスタレビとの相性もいい。ブギウギワンダーレビューのツアーも24年まで。朝ドラの主題歌になって、晴れて一般の人にスタレビのスゴさが伝わって欲しい… https://t.co/TMK2c2FFwS,1587902560618262528,hideyuki_k1,Wed Nov 02 20:20:46 +0000 2022
1,"サンタさんにプレゼントのお願いをした手紙。 

願いが叶った昨日の夜、壁に貼ってあった手紙をふと見ると、「サンタさんありがとう❤️」と付け加えられていました😱

かわいらしいことをしてくれます😌

#子育て
#クリスマス https://t.co/qlxp3DZ4JT",1475105370964041728,hideyuki_k1,Sun Dec 26 14:05:01 +0000 2021
2,@kokori45ko こちらこそ、どうぞ宜しくお願いいたします😌,1468230837749624847,hideyuki_k1,Tue Dec 07 14:48:04 +0000 2021
3,"川から湯気が立ち上る川。ちょっと寒いかな‥‥と思ったけど、川遊びをしても大丈夫😌穴を掘れば熱々の源泉がブクブクと‥‥。ほどよい熱さにするのに、ちょっと苦労しますが✨

人混みを避けて楽しく子どもとお出かけする場所を探すのに苦労しま… https://t.co/4Zd69LlOin",1449901756285177856,hideyuki_k1,Mon Oct 18 00:54:51 +0000 2021
4,本日は人影まばらな砂浜でボーリング、ゴルフ的な遊び。難易度の調整が難しかったが、10回に一度入るくらいでいい感じ😆娘は大喜び😌 https://t.co/qZAGorTYYM,1441167995691208704,hideyuki_k1,Thu Sep 23 22:30:00 +0000 2021
5,"@manmarupuu ありがとうございます😂
最近、ことあるごとに、娘からスマホを奪われ、写真を撮られます。おかげでメモリーがどんどん減ります😆",1440638495626645511,hideyuki_k1,Wed Sep 22 11:25:57 +0000 2021
6,@trico0321 夕焼けを見ていると子どものころ、１日が終わる寂しさを感じたことを思い出してしまいます😂,1440638027378819078,hideyuki_k1,Wed Sep 22 11:24:06 +0000 2021
7,夕焼けを見て、きれいだと思う気持ちは大切にしたい。近くの公園でたっぷり遊んだあとは、漁港から見える夕焼けをじっと眺める娘でした。楽しかった１日が終わってしまう寂しさも感じながら‥‥😢 https://t.co/VOzeq7SNgk,1440269359801196550,hideyuki_k1,Tue Sep 21 10:59:08 +0000 2021
8,今年3月に閉園となった動物園。動物たちはいなくなったが、公園として入れます。かつて動物はたちがいたエリアも入れます。娘の赤ちゃん時代、何回も通ったが、娘の記憶はない‥‥。こどもと一緒に過ごした想い出の場所がなくなるのはやっぱり悲し… https://t.co/GSoTqHAiSw,1439740085918846980,hideyuki_k1,Sun Sep 19 23:56:00 +0000 2021
9,"久しぶりのお休みの晴れ☀️
娘と海辺の夕方を散歩。
ついこの間までの蝉の大合唱が終わり、草むらから聞こえる虫の声😌そんな季節の移ろいも娘との散歩で感じられる😌娘は写真映えをきにするようになり、撮り方の注文が入るのです😓… https://t.co/r1BRhIKq6a",1431642613073924102,hideyuki_k1,Sat Aug 28 15:39:32 +0000 2021
10,"@bukiyoutouchan 不器用とうちゃんさん！
ありがとうございます😂

娘にとってはいい経験になったと思います😆",1429971475046363139,hideyuki_k1,Tue Aug 24 00:59:01 +0000 2021
11,"@kazkuman ぱふさん、ありがとうございます😂
娘はずっと観察し続けています😁",1429970896677072899,hideyuki_k1,Tue Aug 24 00:56:43 +0000 2021
12,"@PqSecond おらんさん、ありがとうございます😂

おじぎ草で一度失敗しましたが、いい経験になりました😄

頑張ってお世話をした成果が出てよかったです😌💓",1429970535111282688,hideyuki_k1,Tue Aug 24 00:55:17 +0000 2021
13,"@Nadeshiko_rena ありがとうございます😂
自分が育てた！という実感を感じてくらていると思います😆",1429808915261267970,hideyuki_k1,Mon Aug 23 14:13:04 +0000 2021
14,"@manmarupuu まるぷさん！
ありがとうございます😌
日に日に大きくなるのをしっかり観察していました😌",1429808284563755016,hideyuki_k1,Mon Aug 23 14:10:34 +0000 2021
15,"@kazkuman ぱふさん、こんばんは😌
声かけ、毎日頑張っていました😆",1429807970611732482,hideyuki_k1,Mon Aug 23 14:09:19 +0000 2021
16,"娘が種を植えてから2ヶ月、無事にミニひまわりが開花😌毎日の水やりと声かけ、しっかりやり遂げました😂
お世話をして育て上げる達成感や喜びはやっぱりこの時期に体験させるのは大切かと、娘の喜ぶ姿から感じました😏
#子育て
#ひまわり… https://t.co/2FR0gYf14s",1429365204391915528,hideyuki_k1,Sun Aug 22 08:49:55 +0000 2021
17,"@yoshi_papa そうなんですか！😲
ＪＲなんですね😆
大阪ですもんね😌",1428504947935498243,hideyuki_k1,Thu Aug 19 23:51:34 +0000 2021
18,@Haluko12 最近はいろんなラッピング電車事業所前がありますね😆,1428504194206507008,hideyuki_k1,Thu Aug 19 23:48:34 +0000 2021
19,"@yoshi_papa ヨシさん、お久しぶりです😏
しばらくツイートサボってました😜 JR阪和線では、キティちゃんラッピングの特急が走っています😌この前偶然乗り合わせました😆",1428329688317849606,hideyuki_k1,Thu Aug 19 12:15:09 +0000 2021
20,"娘が、初めて目次から読んで欲しいお話を探す。300ページ程の本、「雪女」のページ。ふりがなが小さく打たれてある。ページは296、3桁の数字、無理かなと思ったが探し当てる😲 こういう瞬間が嬉しいです😆
初めての○○は、まだまだ訪れる。見逃したくないなぁ😃

#子育て",1428328815776858116,hideyuki_k1,Thu Aug 19 12:11:41 +0000 2021
21,"大阪、南海電車、なんば～関空を走る特急ラピートでは、「すみっこぐらし」のラッピングが😆

#子育て
#すみっこぐらし https://t.co/ZCQZ15sLyU",1428324489473843204,hideyuki_k1,Thu Aug 19 11:54:29 +0000 2021
22,@saikihappy 歯科医師さんのおかげです😆,1427658695119302666,hideyuki_k1,Tue Aug 17 15:48:52 +0000 2021
23,"@trico0321 @YouTube 渋すぎます😏
僕は8歳でした😁",1427282048914366470,hideyuki_k1,Mon Aug 16 14:52:12 +0000 2021
24,"歯が痛く、歯医者に行きたいと言い出した娘。何故か歯医者に行くことを怖がらない。痛かったようだが、先生が優しく、鏡を持たせてもらって口の中を見たり、帰りにご褒美のスライムをもらたりと、楽しく治療が終了😆
「明日も行きたい😌💓」と言い… https://t.co/bZlBNWkhYd",1427274854739243008,hideyuki_k1,Mon Aug 16 14:23:37 +0000 2021
25,@masat236p そうですよね。とにかくアップで撮りたがります😓せっかく撮ったのだからと削除するのをためらったまま保存され続けます😓,1427174718839214081,hideyuki_k1,Mon Aug 16 07:45:43 +0000 2021
26,"@Syufuyuki38 ありがとうございます😂
うちも見境なくシャッターを押しまくるので大変です😓",1427174222757990400,hideyuki_k1,Mon Aug 16 07:43:44 +0000 2021
27,"@FantaticL こちらこそ、フォロー、ありがとうございます😂
ぜひ、仲良くしてください😌",1427173888601985025,hideyuki_k1,Mon Aug 16 07:42:25 +0000 2021
28,"久しぶりの晴れ間☀️我慢していた娘との散歩。鬼ごっこの後は、スマホを奪い取られ、娘はカメラマンに。たまに奇跡の一枚が‥😲対象をしっかりと見て撮るので観察力アップにも😌ただスマホの容量が大変なことに‥‥。 
#子育てあるある https://t.co/UEqWul3zlB",1426909038005022725,hideyuki_k1,Sun Aug 15 14:10:00 +0000 2021
29,"「スヌーピーの緑色のやつ！」
ママの誕生日プレゼントを娘に相談。何かわからない。妻に聞いてもわからない😖娘と二人で、それがあったというお店へ。
あった！スヌーピーの緑色のガマ口👛😆もう2ヶ月程前、妻がかわいいと言って手に取って眺め… https://t.co/OPJLIaIRX1",1423403442970763268,hideyuki_k1,Thu Aug 05 22:00:01 +0000 2021
30,"@Zenryoku_Daddy ありがとうございます😂
ぜひ、仲良くしてください😌",1423310456471527429,hideyuki_k1,Thu Aug 05 15:50:31 +0000 2021
31,"@Zenryoku_Daddy はじめまして！ヒデさん😆
リアルすぎてビックリです😲こどもはハマってしまいますよね😌私もですが‥‥😓",1422888717044240386,hideyuki_k1,Wed Aug 04 11:54:40 +0000 2021
32,"@natu7_7 はじめまして！
コメントありがとうございます😂
なるほど、逆パターンですね😆調べなくてもわかるのは、確かにワクワク感はないですが、調べた時のドキドキ感が‥‥😜",1421995847844188162,hideyuki_k1,Mon Aug 02 00:46:44 +0000 2021
33,今日は保育園の日帰りキャンプ😌いつもより早めの登園。保育園から歩いて1時間のキャンプ場でカレー作り。結構な距離だが、娘と週末の探検散策で一度行った場所😌お友だちと仲良くみんなで歩くのもいい思い出になれば✨保育園でいろんな体験をさせ… https://t.co/8YT1OjfjNf,1420342616315482115,hideyuki_k1,Wed Jul 28 11:17:23 +0000 2021
34,@85tencom ありがとうございます😂,1420027813948764173,hideyuki_k1,Tue Jul 27 14:26:28 +0000 2021
35,"@PqSecond ありがとうござますぅ😂
ひまわり探しの旅はこの夏、もう少し続けます😌💓",1419984950334410753,hideyuki_k1,Tue Jul 27 11:36:08 +0000 2021
36,"@manmarupuu そうですよね😆
娘でなく、私がハマってしまっています😓",1419980974016786434,hideyuki_k1,Tue Jul 27 11:20:20 +0000 2021
37,"@85tencom なんたろさん、はじめまして！✨
コメントありがとうございます😂
優しいところがいいところなのですが、この先、あまりにも人に気を遣いすぎるのも‥‥と、ちょっと不安になったのですが😆 
でも、ちゃんとその気持ちを認めてあげたいのです😀",1419980664439406596,hideyuki_k1,Tue Jul 27 11:19:07 +0000 2021
38,"@PqSecond おらんさん！こんばんは🌙😃❗

条件付きで普段は買わない！
そうします😌

どちらかと言うと、娘より自分が買いたくなるかも知れないので、妻にセーブオンしてもらいます😆",1419979577095385097,hideyuki_k1,Tue Jul 27 11:14:47 +0000 2021
39,"@PqSecond こんばんは！ 
おらんさん😆
 
もうチャレンジ済みなんですね😌

やったらハマるだろうなと思いつつ、お菓子コーナーに行く度に娘にねだられるとも考え躊躇していました😄

でも、私が自分で買って終いそうです😁💓",1419668864233742337,hideyuki_k1,Mon Jul 26 14:40:08 +0000 2021
40,"@31_goshin_jutsu こんばんは🌙😃❗
ありがとうごさいます😆
ほんとすごいですね、知育菓子。次からお菓子売場に行くときっとせがまれます😓",1419641455425904645,hideyuki_k1,Mon Jul 26 12:51:13 +0000 2021
41,"@cocoro_up 私も虫が苦手です😓
娘は平気でセミの幼虫や団子むしを触わります😆
いつもそれに怯えています😂",1419616522377392134,hideyuki_k1,Mon Jul 26 11:12:08 +0000 2021
42,"@manmarupuu こんにちは！まるぷさん😌
なかなかの暑さでしたが、楽しめました😆",1419616037603921924,hideyuki_k1,Mon Jul 26 11:10:13 +0000 2021
