,text,id,user,created_at
0,"@yumcomnet ゆうこちゃん✨
今日はご参加ありがとう❤️
これから一ヶ月は女神香水で素敵な毎日を過ごしてね🌹✨",1581930597827895297,keikoyokoe,Mon Oct 17 08:50:20 +0000 2022
1,"@yumcomnet @scrappykeiko ゆうこちゃん、ご参加ありがとうございました❣️
けいこがいっぱい〜😆🎶",1528931112332177408,keikoyokoe,Tue May 24 02:49:18 +0000 2022
2,"@mayulovemama みゆっきー
そんな日に会いに来てくれてありがとう😊嬉しかったよ〜❤️あわよくば旅立つ前にもう一回くらい会える予感😁✨",1527181758277783552,keikoyokoe,Thu May 19 06:57:59 +0000 2022
3,"@noby_noby ありがとうございます😊
よろしくお願いします🍀",1495371265401835520,keikoyokoe,Sun Feb 20 12:14:26 +0000 2022
4,"小1次男

クリスマスプレゼントや
お年玉でゲットした
ポケモンのぬいぐるみと
一緒にお休み😪

朝、リビングに入って来る時に
荷物いっぱいで扉が開けれず
「開けてー！」
と叫んでいるのが
可愛いくて仕方がない💕

いつまでこの可… https://t.co/Z1sqidxSX2",1487770428034920455,keikoyokoe,Sun Jan 30 12:51:26 +0000 2022
5,"@chiimama0409 ちーままさん
こんばんは⭐
素敵な週末を過ごしましょう🌈",1487057238204170241,keikoyokoe,Fri Jan 28 13:37:28 +0000 2022
6,@mayulovemama みゆっきー、ファイトー👍✨,1487037751618727936,keikoyokoe,Fri Jan 28 12:20:02 +0000 2022
7,"今日もレインドロップ🌿

いつも最初はヤングヴァラー

足裏にヤングヴァラーを塗布して
手を当てるだけ
難しい事は何もない
ただそれだけで整う身体と心♡

お家でも手軽にできるセルフケア

定期的に受けにきてくれる
お客様が増えて… https://t.co/Nb6kYInzAP",1487036206890192900,keikoyokoe,Fri Jan 28 12:13:54 +0000 2022
8,"@non_mama_biz のんさん、はじめまして😊
フォローありがとうございます💕
こちらこそ、仲良くしてもらえると嬉しいです✨",1485896359719108609,keikoyokoe,Tue Jan 25 08:44:33 +0000 2022
9,"トランポリン1時間チャレンジ✨
「急に1時間トランポリン跳ぶ」と言い出した兄弟！「えっ、無理やろ〜」と言ってしまった💦やってみたら、なんと1時間跳び続けた😲しかも、喋りながらけっこう余裕そうに。大人の感覚だけで発言したら危険！私だったら３分くらいでアウトかな😅",1485578652863823875,keikoyokoe,Mon Jan 24 11:42:06 +0000 2022
10,"@222nekoko_fu こちらこそ、ありがとうございます😌
伝えていきましょう✨",1485266890700521473,keikoyokoe,Sun Jan 23 15:03:16 +0000 2022
11,"@danboul 大きな変化ですよね✨
いい変化です😊",1485266397349691394,keikoyokoe,Sun Jan 23 15:01:18 +0000 2022
12,"@222nekoko_fu fuさん、ありがとうございます😌
これからもママの安心安全な場所を作っていきたいです。
こちらこそ、よろしくお願いします🎶",1485061926942294016,keikoyokoe,Sun Jan 23 01:28:49 +0000 2022
13,@222nekoko_fu 穏やかなになって、ウキウキまでついてくるので最強です😍✨,1485061340331147264,keikoyokoe,Sun Jan 23 01:26:29 +0000 2022
14,こんなお店が増えたら嬉しいなぁ💕 https://t.co/jGI2JtkP47,1485061074148028417,keikoyokoe,Sun Jan 23 01:25:25 +0000 2022
15,"@yumcomnet ホントそれ✨✨
結局、任せるのが一番の近道なんだよね😁",1485060739580989440,keikoyokoe,Sun Jan 23 01:24:06 +0000 2022
16,"@danboul 結婚記念日おめでとうございます🎉
鏡割りも😂
ぷれしゃちょう、さすがですね✨",1485060231600406529,keikoyokoe,Sun Jan 23 01:22:04 +0000 2022
17,"@MHugmama めっちゃ素敵なお店〜🥰
こんな店が増えると嬉しいですね💕",1485059897746419712,keikoyokoe,Sun Jan 23 01:20:45 +0000 2022
18,"@mayulovemama みゆっきー、おはよー☀
休みの日も頑張ってるね✨
今日も素敵な１日を🌈",1485059585920860162,keikoyokoe,Sun Jan 23 01:19:31 +0000 2022
19,"今週はず〜っと休校

男子二人がず〜っと家にいてるので
朝にゆっくり自分時間も取りにくい❗

そんな時は
女神香水を使います🌹

大好きな香りをブレンドして
作った香水
シュッとひとふり✨
それだけで笑顔で
心穏やかに過ごせる❤️… https://t.co/mnE8zErQb6",1484859826056630273,keikoyokoe,Sat Jan 22 12:05:44 +0000 2022
20,"@aoi_mamadesign アオイさん
ありがとうございます💕",1484488324211683328,keikoyokoe,Fri Jan 21 11:29:31 +0000 2022
21,"女神香水作り〜なりたい自分になる〜
をオンライン開催させていただきました🌹

香りは記憶と深く結びついている✨

女神香水の香りと
1ヶ月後のなりたい自分を
リンクさせる事で
女神香水を使うたびに
なりたい自分にどんどん近づく❤️… https://t.co/9jvQOPAv1J",1484487857737658370,keikoyokoe,Fri Jan 21 11:27:40 +0000 2022
22,"@gokigenmamy らんさん
こんなに嬉しいドッキリがあるんですね😍",1484130502999437315,keikoyokoe,Thu Jan 20 11:47:40 +0000 2022
23,"@WwDPHhb8lepseXv そうですね✨
ありがとうございます😌",1484130231481167872,keikoyokoe,Thu Jan 20 11:46:35 +0000 2022
24,"@yumcomnet ありがとう💕
今まで育ててきてよかった🥰",1484125147585859586,keikoyokoe,Thu Jan 20 11:26:23 +0000 2022
25,"@WwDPHhb8lepseXv ありがとうございます😊
ビックリです✨
これまでの大変だった事は全部吹っ飛びました❗❗",1484124610069409794,keikoyokoe,Thu Jan 20 11:24:15 +0000 2022
26,"昨日「明日おかんにドッキリしかける！」と言って寝た小3長男。
今日も小学校は休校、私は朝からZOOM。
終わってからお風呂場の扉が開いてたのが気になって覗いてみると、
あれ？お風呂掃除してる…
長男の考えたドッキリ✨
私に内緒でお風呂掃除をする！でした😍
いつもありがとう💕",1484123304227389445,keikoyokoe,Thu Jan 20 11:19:04 +0000 2022
27,"@uvertime0 スラリンさん
ですよね〜😊",1481953623982882819,keikoyokoe,Fri Jan 14 11:37:31 +0000 2022
28,"女神香水作り🌹
〜なりたい自分になる〜

❤️髪の毛につけたらサラサラに
❤️深呼吸ができるようになった

いい香りだけでなく、他にも嬉しい事がいっぱい🎶

冬休み、頑張った自分にご褒美時間💖
さらにワクワクをみんなで味わいましょ… https://t.co/MhCHy3YUds",1481953318528495619,keikoyokoe,Fri Jan 14 11:36:19 +0000 2022
29,"気分が落ちてる時は、何をやってもうまくいかない💧
いつもと同じように作った料理もなんか美味しくない…
そんな時、音🎶と香り🌹があれば瞬時に気持ちを切り替えられる！
自分の「心地良い」を知ってるって大切✨
そして早く寝よう😊",1481594959715512322,keikoyokoe,Thu Jan 13 11:52:19 +0000 2022
30,"@gangangan0808 がんがんさん、こんばんは⭐
楽しんできました🎶",1481231651007242240,keikoyokoe,Wed Jan 12 11:48:40 +0000 2022
31,"@oinari_SNS おいなりさん、こんばんは⭐
今日も１日お疲れ様でした！",1481231551811952640,keikoyokoe,Wed Jan 12 11:48:16 +0000 2022
32,"@yuca8888 子どもたちが休みだとママは全然休めないですからね💦
ありがとうございます😊
楽しんできました🎶",1481231351403921408,keikoyokoe,Wed Jan 12 11:47:28 +0000 2022
