,text,id,user,created_at
0,"👧「トイレする！
　　でなくてもいいのー？」

年少さんになって、寝るとき以外お姉さんパンツになった長女。
自発的にトイレ発言をする機会も増えた☺️保険的な確認してくるのは性格？ママの生活遺伝？😱

ダダダッ！
👧「ママー！出たよ… https://t.co/DfuTUHl9Bu",1520161664636620800,kidstraveler22,Fri Apr 29 22:02:38 +0000 2022
1,"👧「しわわせなら
　　ママのお手手鳴らそっ」
👩（👏👏パンパン）
👧「しわわせなら‥」
👶　(ダダダッ！)
👩（👏👶👏パンパン）

手を叩いてるところを察知すると、二女が顔を挟まれにダッシュしてくる🤣
謎のスキンシップ🤣
長女が舌… https://t.co/mIXEoHj3Ef",1519455851236368385,kidstraveler22,Wed Apr 27 23:17:59 +0000 2022
2,"@_poplight_ ぽっぷさん、初めまして。
気になるプロフすぎて私もフォローさせていただきました🙏✨
よろしくお願いします☺",1519318445099077632,kidstraveler22,Wed Apr 27 14:11:59 +0000 2022
3,"エレベーターの位置を【のぞみ系(16両編成)】で書き直すと
✅20番線:11号車
✅21・22番線:12号車
✅23・24番線:10号車
✅25・26番線:11号車
✅27番線:13号車

GW新大阪に子供とベビーカーで来る友達向… https://t.co/y5Taux6dtN",1519089516333568001,kidstraveler22,Tue Apr 26 23:02:18 +0000 2022
4,"🚅新幹線で新大阪駅へ
エレベーターが近いのは基本7or11号車✨

【16両】→11号車
✅のぞみ・ひかり(・こだま)
✅階段は8・12号車

【8両】→7号車
✅みずほ・さくら
✅階段は4・8号車

✅自由席側には階段無し
　車… https://t.co/p6NFq8Yu7d",1519089148212117505,kidstraveler22,Tue Apr 26 23:00:50 +0000 2022
5,"@22deikukyu 初めまして。
手土産は義両親以外でも入刀で盛り上がったりするので我が家も多用してます🥰
楽しめるテクニックいいですね〜☺️",1518749510293331968,kidstraveler22,Tue Apr 26 00:31:14 +0000 2022
6,"ステーキハウス・ブロンコビリーは母との思い出の愛知発祥チェーン店。

✅関東・関西にも店舗増えた
✅ランチが16時入店まで
✅サラダバーで野菜たっぷり
　2歳以下無料
✅お子様メニューは380円〜

昼夜兼用にも☺️✨
母と行って… https://t.co/WgVa6x6B04",1518727046762958848,kidstraveler22,Mon Apr 25 23:01:59 +0000 2022
7,"👶(🥛#炭酸👀✨✨✨)
👩「苦手だと思うけど、どうぞ」
👶「(ゴクッ)んべっ！？？
　　(‥ゴクッ)止ーとく」
👧「(恐る恐る)からいー？」

警戒心の強い長女と
好奇心旺盛っぽい二女。

オマル→初トイレ利用も二女が先🤭
大きくなってからの関係性が楽しみ☺️",1518726863278936064,kidstraveler22,Mon Apr 25 23:01:15 +0000 2022
8,"子供との時間管理が難しい。二人目だからって、上の子と同じとは限らない。

1y10mの二女は車に乗せると、お手々がキレイに収まって寝てる率高い🤣
親になると笑うことも増える☺️

今週も楽しい週になりますように☺️ https://t.co/H8VxUvGom8",1518369125512359936,kidstraveler22,Sun Apr 24 23:19:44 +0000 2022
9,"@Crystallineazu1 「使い始めて5分たったかな？」
ちなみに保身的な私は、数字で我が子に示して、子供たちと相手の親御さんの反応を伺ってます。第一声は改めます〜✨
感謝です☺",1518054749471342598,kidstraveler22,Sun Apr 24 02:30:31 +0000 2022
