,text,id,user,created_at
0,@kuumin_design 今週中にドーナツ食べることが確定🙃,1632347257138982914,kunpapa7,Sun Mar 05 11:48:08 +0000 2023
1,"気付いたら50円になってて（昔は30円やったような‥）、カレー味という新味が出ていた🙂
そしてカレー味は駄菓子のレベルじゃない辛さw https://t.co/po59ZJnSRQ",1632346867588792321,kunpapa7,Sun Mar 05 11:46:35 +0000 2023
2,"こんなに高騰してるとは‥😮

卵メニュー相次ぎ停止 外食悲鳴 - Yahoo!ニュース https://t.co/43p28XRurD",1629702204432220160,kunpapa7,Sun Feb 26 04:37:38 +0000 2023
3,"昨日のバレンタインデーにビーガンのマフィンをいただいた🙂💞
これなら長男も食べられるし嬉しいぞ👌

#卵アレルギー
#食物アレルギー
#スイーツ https://t.co/aLL88uNOMY",1625841398263197696,kunpapa7,Wed Feb 15 12:56:10 +0000 2023
4,"発想と振り切り方がサイコーなんだよなぁ😆

#玉子焼弁当
#LAWSON100 https://t.co/mSLnXAny8q",1620200272927797248,kunpapa7,Mon Jan 30 23:20:21 +0000 2023
5,"@206mSori ありがとうございます。
着実に前進しております🙂",1611630008120020993,kunpapa7,Sat Jan 07 07:45:11 +0000 2023
6,"明けおめで御座います🙂
年越しすぐに膿が出て歯の痛みが飛んでいった（本厄が終わったから❓）
おみくじは「吉」でした⭕
お正月はビクドンに行き、今まではアレルギー対応ハンバーグだった長男も通常ハンバーグにチェンジ👌
選択肢が少しづつ… https://t.co/OCiQBt9mks",1611520214910533632,kunpapa7,Sat Jan 07 00:28:54 +0000 2023
7,"→仕事納め(^o^)
一昨日から奥歯が痛く、どうやら疲労から来る歯の根っこ炎症のようで、お薬を飲んでもズキズキ‥😵
ろくに寝れないし、年末年始のご飯も美味しくいただけないなと💦
これが本厄❓と考えるも、これだけで済んだと思っておこ… https://t.co/cLmlurLOH9",1608414516672606208,kunpapa7,Thu Dec 29 10:47:58 +0000 2022
8,"正直、うまい棒の中でなんかコイツだけ違うんだよなぁ‥と思ってずっと敬遠していたコーンポタージュ味。
でも、ついに41歳にして美味しさに気づいた🥰 https://t.co/2uQjlUclHU",1599991362484862976,kunpapa7,Tue Dec 06 04:57:21 +0000 2022
9,"@206mSori 意外にいけるのが嬉しいです🥰
美味しくいただきました🥰",1596453130996416513,kunpapa7,Sat Nov 26 10:37:41 +0000 2022
