,text,id,user,created_at
0,"運動会なう✨
天気良すぎて干からびる😫

#運動会
#快晴 https://t.co/32nOSK3etv",1576031930474455040,sakuraich21,Sat Oct 01 02:11:08 +0000 2022
1,"観葉植物🪴

ガチャガチャした玄関ですが
最近は枯らすこともなく
観葉植物が元気に育ってくれています♪

玄関に緑があるとなんだか家に帰ってきた時に癒されますね✨

下のちびっ子も感化されたのか
自分の机に観葉植物を置いて🪴
大事… https://t.co/Voh03vr107",1548500714812772353,sakuraich21,Sun Jul 17 02:51:54 +0000 2022
2,"スイカ🍉

とうもろこし🌽に続いて
スイカ🍉！

祖母が孫のために畑で育てたスイカが立派に育ちました😳

冷やして食べよう😄

#夏
#畑で育てたスイカ
#スイカ https://t.co/7ubfwFygAY",1547812646954876928,sakuraich21,Fri Jul 15 05:17:46 +0000 2022
3,"平等なもの

私たちにとって唯一平等なこと

1日の時間
必ず死んでしまうこと

どちらをとってもお金持ちだろうが貴族だろうが貧乏だろうが犯罪者だろうが満遍なく平等

私はその平等な時間を大事に価値ある時間として使えてるのかな…… https://t.co/fxtWjI2uhf",1546841544782921729,sakuraich21,Tue Jul 12 12:58:57 +0000 2022
4,@saka_mercari 羽化しましたよ〜😄,1546456676794257408,sakuraich21,Mon Jul 11 11:29:38 +0000 2022
5,"セミが‼︎‼︎

羽化しました😳

綺麗だなー✨

やっと飛び立てるんだね✨

トマトの茎が重みでしなってるのが心配😂
落ちないと良いけど🤔

子供たちも大興奮！

少し早いけど夏休みの作文に書けそうだ😄 https://t.co/XYXoMqdwtP",1546450901002764288,sakuraich21,Mon Jul 11 11:06:41 +0000 2022
6,"貴重なセミ！

脱皮前の蝉が道を歩いてたみたいで下のちびっ子が捕まえて家に持って帰ってきた😳

可哀想なので家のトマト🍅とコラボさせてあげました😄

触らず見守りたいと思います😄

#セミ
#蝉
#夏
#脱皮前 https://t.co/PjZBjnzTrh",1546410741053652992,sakuraich21,Mon Jul 11 08:27:06 +0000 2022
7,"おすすめ！

おにぎりにものすごく合います！

中々しょうゆ味を見かけませんが見かけた際は一度ご賞味あれ😳

ほんのりしょうゆ味に混ぜわかめがなんとも合う✨

他の味はどこにでも売ってますが、しょうゆ味が中々無い🤔
見かけた時は爆… https://t.co/Oakv6p83zq",1546058498857140224,sakuraich21,Sun Jul 10 09:07:25 +0000 2022
8,"とうもろこし🌽

祖父母が孫の為に畑で育てたトウモロコシ🌽

立派に育ちました✨

帰って茹でて食べます😊

#とうもろこし
#畑
#甘い https://t.co/DmZlK5l04g",1543424306239406080,sakuraich21,Sun Jul 03 02:40:04 +0000 2022
9,@Minecra01218243 咲くのが早くてもう枯れてしまいました😂,1543204593701896192,sakuraich21,Sat Jul 02 12:07:01 +0000 2022
